"ที่","วันที่","ชื่อกิจกรรม","ฝ่าย","รหัสโครงการ","ผลผลิต_คน","ผลผลิต_หน่วยงาน","รายได้(บาท)","มูลค่าทางสังคม(บาท)","ประเภท","ผู้รับผิดชอบ","KPI_สำนัก","หมายเหตุ"," สิทธิ์สมนาคุณ 
(สำหรับหลักสูตรฝึกอบรม)","จำนวนคน","มูลค่า (บาท)","","","","","","","","","","","",""
"5","21/10/2568-23/10/2568","หลักสูตร การสำรวจและทำแผนที่ด้วยอากาศยานไร้คนขับ  ณ  โรงงานน้ำตาลไทยอุดรธานี จังหวัดอุดรธานี ","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","19","1","200,000.00","307,800.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","นายอลงกต ปากาศ (เฟิร์ส)","ย 1.2.1 จำนวนผู้สำเร็จการศึกษาและการฝึกอบรมในหลักสูตรสาขาเทคโนโลยีอวกาศและภูมิสารสนเทศเพิ่มขึ้น 400 คนต่อปี เพื่อตอบสนองความต้องการบุคลากรด้านอวกาศของประเทศ","","","","","","","","","","","","","","","",""
"6","20/11/2568-21/11/2568","หลักสูตร เทคโนโลยีอวกาศและภูมิสารสนเทศ สำหรับการพัฒนาจังหวัด รุ่นที่ 4","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","494","","15,147.00","8,002,800.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","นายอลงกต ปากาศ (เฟิร์ส)","ย 1.2.1 จำนวนผู้สำเร็จการศึกษาและการฝึกอบรมในหลักสูตรสาขาเทคโนโลยีอวกาศและภูมิสารสนเทศเพิ่มขึ้น 400 คนต่อปี เพื่อตอบสนองความต้องการบุคลากรด้านอวกาศของประเทศ","","","","","","","","","","","","","","","",""
"7","9/12/2568","หลักสูตร การพัฒนาดาวเทียม รุ่นที่ 7 (10/11/2568 - 9/12/2568)","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","246","","3,168.00","3,985,200.00","ฝึกอบรมหลักสูตรประจำปี","นายณัฐพงษ์ แข่งขัน (นาม)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
"34","12/01/2569-16/01/2569","หลักสูตร การสำรวจและทำแผนที่ด้วยอากาศยานไร้คนขับ","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","42","20","340,000.00","680,400.00","ฝึกอบรมหลักสูตรประจำปี","นายวีรวัฒน์ จันทวงษ์ (ต้น)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","สสพ.ที่ 397/2568 ลว. 4 ธันวาคม 2568 จำนวน 5 คน เป็นเงิน 50,000 บาท (สปก.)
สสพ.ที่ 403/2568 ลว. 4 ธันวาคม 2568 จำนวน 2 คน เป็นเงิน 20,000 บาท (กรมป่าไม้)
สสพ.ที่ 90/2569 ลว. 22 มกราคม 2569  จำนวน 1 คน เป็นเงิน 10,000 บาท (กรมชลประทาน) ","80000","8","80,000.00","","","","","","","","","","","",""
"35","14/01/2569-15/01/2569","หลักสูตร การบริหารจัดการข้อมูลเชิงพื้นที่ด้วย Portal รุ่นที่ 1 (กรมพัฒนาที่ดิน)","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","30","1","19,200.00","486,000.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.มยุรา ทุ่มแก้ว (ปูเป้)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
"36","20/01/2569-22/01/2569","หลักสูตร การใช้ Python ในงานภูมิสารสนเทศ เพื่องานส่งเสริมการเกษตร (กรมวิชาการเกษตร)","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","15","1","100,800.00","243,000.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.ฐานิต  นุกูลราษฎร์  (ปอ)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
"37","27/01/2569-29/01/2569","หลักสูตร การเสริมสร้างทักษะสีเขียว: พนักงานยุคใหม่กับความรู้ด้านสิ่งแวดล้อม และ Carbon Footprint Practice (สวนสัตว์เขาเขียว)","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","20","1","145,000.00","324,000.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.มยุรา ทุ่มแก้ว (ปูเป้)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
"38","28/01/2569-29/01/2569","หลักสูตร การบริหารจัดการข้อมูลเชิงพื้นที่ด้วย Portal รุ่นที่ 2 (กรมพัฒนาที่ดิน)","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","30","1","19,200.00","486,000.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.มยุรา ทุ่มแก้ว (ปูเป้)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
"44","03/02/2569","โครงการเสริมสร้างศักยภาพครูด้านการบูรณาการเทคโนโลยีอวกาศและภูมิสารสนเทศเพื่อการเรียนการสอน ผู้ให้ทุน กองทุนพัฒนาเทคโนโลยีเพื่อการศึกษา สำนักปลัดกระทรวงศึกษาธิการ (เริ่มสัญญา 4/02/2026-3/02/2027)","ฝถร.","69143","","","1,000,000.00","2,430,000.00","ทุนสนับสนุน","นายอลงกต ปากาศ (เฟิร์ส)","ย 1.2.1 จำนวนผู้สำเร็จการศึกษาและการฝึกอบรมในหลักสูตรสาขาเทคโนโลยีอวกาศและภูมิสารสนเทศเพิ่มขึ้น 400 คนต่อปี เพื่อตอบสนองความต้องการบุคลากรด้านอวกาศของประเทศ","","","","","","","","","","","","","","","",""
"45","4/02/2569-5/02/2569","หลักสูตร การบริหารจัดการข้อมูลเชิงพื้นที่ด้วย Portal รุ่นที่ 3 (กรมพัฒนาที่ดิน)","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","30","1","19,200.00","486,000.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.มยุรา ทุ่มแก้ว (ปูเป้)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
