0,1,2,3
 เบี้ยเลี้ยง ที่พัก / ค่ารับรองพิธีการ / ค่าตอบแทน,,,
ลำดับที่,รายการ,รายละเอียด ,รวม
1,ค่าเบี้ยเลี้ยง ผู้บริหารระดับรอง,800 บาท * 1 คน * 1 วัน,800
2,ค่าเบี้ยเลี้ยง ผู้บริหาร ผอ.,600 บาท * 1 คน *1 วัน,600
3,ค่าเบี้ยเลี้ยง จนท.,400 บาท * 6 คน * 1 วัน,2400
4,ค่าที่พัก ผู้บริหาร,"2,200 บาท * 2 ห้อง * 1 คืน",4400
5,ค่าที่พัก จนท.,"1,500 บาท * 3 ห้อง * 1 คืน",4500
6,ค่ายานพาหนะและน้ำมันเชื้อเพลิง,,
,6.1. ค่ารถตู้เช่า,"2,300 บาท * 1 คัน",2300
,6.2. ค่าตั๋วโดยสารเครื่องบิน,"3,500 บาท * 2 คน",7000
,6.3. ค่าน้ำมันเชื้อเพลิง,"1,000 บาท * 1 คัน",1000
7,ค่าทางด่วน,500 บาท * 1 คัน,500
8,ค่ารับรองและพิธีการ,,
,8.1. ค่าอาหารว่างและเครื่องดื่ม,50 บาท * 10 คน * 2 มื้อ,1000
,8.2. ค่าอาหาร,250 บาท * 10 คน * 1 มื้อ,2500
9,ค่าตอบแทนปฏิบัติงานนอกเวลาราชการ,,
,9.1. วันธรรมดา 3 ชม. ,180 บาท * 2 คน * 5 วัน * 2 เดือน,3600
,9.2. วันเสาร์-อาทิตย์ ,500 บาท * 2 คน * 2 วัน * 2 เดือน,4000
รวม,,,34600
